,type,description,mean_thickness,mean_pore_size,aging,temperature,delta_pressure,gases_kinetic_diameter,gases_molar_mass,gases_polarizability,Py,in_reference_data_location,reference,url
679,polymer,Matrimid5218,,,0.0,308.0,500000.0,380.0,16.04,2.448,0.18,table 3,AKBARI A et al 2020,https://doi.org/10.1016/j.cep.2020.107804
680,MMM,Cu-BTC/Matrimid5218,,1.12,0.0,308.0,500000.0,380.0,16.04,2.448,0.18,table 3,AKBARI A et al 2020,https://doi.org/10.1016/j.cep.2020.107804
681,MMM,Cu-BTC/Matrimid5218,,1.12,0.0,308.0,500000.0,380.0,16.04,2.448,0.19,table 3,AKBARI A et al 2020,https://doi.org/10.1016/j.cep.2020.107804
682,MMM,Cu-BTC/Matrimid5218,,1.12,0.0,308.0,500000.0,380.0,16.04,2.448,0.22,table 3,AKBARI A et al 2020,https://doi.org/10.1016/j.cep.2020.107804
683,MMM,Cu-BTC/Matrimid5218,,1.12,0.0,308.0,500000.0,380.0,16.04,2.448,0.27,table 3,AKBARI A et al 2020,https://doi.org/10.1016/j.cep.2020.107804
684,MMM,Cu-BDC/Matrimid5218,,1.05,0.0,308.0,500000.0,380.0,16.04,2.448,0.18,table 3,AKBARI A et al 2020,https://doi.org/10.1016/j.cep.2020.107804
685,MMM,Cu-BDC/Matrimid5218,,1.05,0.0,308.0,500000.0,380.0,16.04,2.448,0.21,table 3,AKBARI A et al 2020,https://doi.org/10.1016/j.cep.2020.107804
686,MMM,Cu-BDC/Matrimid5218,,1.05,0.0,308.0,500000.0,380.0,16.04,2.448,0.21,table 3,AKBARI A et al 2020,https://doi.org/10.1016/j.cep.2020.107804
687,MMM,Cu-BDC/Matrimid5218,,1.05,0.0,308.0,500000.0,380.0,16.04,2.448,0.21,table 3,AKBARI A et al 2020,https://doi.org/10.1016/j.cep.2020.107804
688,MMM,Cu-BDC/Matrimid5218,,1.05,0.0,308.0,500000.0,380.0,16.04,2.448,0.25,table 3,AKBARI A et al 2020,https://doi.org/10.1016/j.cep.2020.107804
692,MMM,Cu-BDC/Matrimid5218,,1.05,0.0,318.0,500000.0,380.0,16.04,2.448,0.214904679376084,fig 6a,AKBARI A et al 2020,https://doi.org/10.1016/j.cep.2020.107804
693,MMM,Cu-BDC/Matrimid5218,,1.05,0.0,328.0,500000.0,380.0,16.04,2.448,0.233743409490335,fig 6a,AKBARI A et al 2020,https://doi.org/10.1016/j.cep.2020.107804
694,MMM,Cu-BDC/Matrimid5218,,1.05,0.0,338.0,500000.0,380.0,16.04,2.448,0.271095152603234,fig 6a,AKBARI A et al 2020,https://doi.org/10.1016/j.cep.2020.107804
698,MMM,Cu-BTC/Matrimid5218,,1.12,0.0,318.0,500000.0,380.0,16.04,2.448,0.248239436619719,fig 6b,AKBARI A et al 2020,https://doi.org/10.1016/j.cep.2020.107804
699,MMM,Cu-BTC/Matrimid5218,,1.12,0.0,328.0,500000.0,380.0,16.04,2.448,0.267148014440433,fig 6b,AKBARI A et al 2020,https://doi.org/10.1016/j.cep.2020.107804
700,MMM,Cu-BTC/Matrimid5218,,1.12,0.0,338.0,500000.0,380.0,16.04,2.448,0.288888888888889,fig 6b,AKBARI A et al 2020,https://doi.org/10.1016/j.cep.2020.107804
705,MMM,Cu-BDC/Matrimid5218,,1.05,0.0,308.0,100000.0,380.0,16.04,2.448,0.259047619047619,fig 8a,AKBARI A et al 2020,https://doi.org/10.1016/j.cep.2020.107804
706,MMM,Cu-BDC/Matrimid5218,,1.05,0.0,308.0,200000.0,380.0,16.04,2.448,0.245421245421246,fig 8a,AKBARI A et al 2020,https://doi.org/10.1016/j.cep.2020.107804
707,MMM,Cu-BDC/Matrimid5218,,1.05,0.0,308.0,300000.0,380.0,16.04,2.448,0.235714285714285,fig 8a,AKBARI A et al 2020,https://doi.org/10.1016/j.cep.2020.107804
708,MMM,Cu-BDC/Matrimid5218,,1.05,0.0,308.0,400000.0,380.0,16.04,2.448,0.209424083769634,fig 8a,AKBARI A et al 2020,https://doi.org/10.1016/j.cep.2020.107804
713,MMM,Cu-BTC/Matrimid5218,,1.12,0.0,308.0,100000.0,380.0,16.04,2.448,0.31630648330059,fig 8b,AKBARI A et al 2020,https://doi.org/10.1016/j.cep.2020.107804
714,MMM,Cu-BTC/Matrimid5218,,1.12,0.0,308.0,200000.0,380.0,16.04,2.448,0.309297912713473,fig 8b,AKBARI A et al 2020,https://doi.org/10.1016/j.cep.2020.107804
715,MMM,Cu-BTC/Matrimid5218,,1.12,0.0,308.0,300000.0,380.0,16.04,2.448,0.280510018214937,fig 8b,AKBARI A et al 2020,https://doi.org/10.1016/j.cep.2020.107804
716,MMM,Cu-BTC/Matrimid5218,,1.12,0.0,308.0,400000.0,380.0,16.04,2.448,0.250883392226149,fig 8b,AKBARI A et al 2020,https://doi.org/10.1016/j.cep.2020.107804
729,MMM,SAPO-34/PEI,1.0,,0.0,303.0,100000.0,380.0,16.04,2.448,0.02154093529712,fig 7,MESSAOUD AB et al 2015,http://dx.doi.org/10.1016/j.seppur.2015.04.017
757,MMM,HOF-30/matrimid5218,15.0,0.394,0.0,298.0,100000.0,380.0,16.04,2.448,4.6,table S3,LI W et al 2022,https://doi.org/10.1016/j.memsci.2021.120021
796,zeolite,SSZ-13 ,3.0,0.372,0.0,303.0,100000.0,380.0,16.04,2.448,107.372100314754,fig 4,AYDANI A et al 2021,https://doi.org/10.1016/j.seppur.2020.117796
797,zeolite,SSZ-13 ,3.0,0.372,0.0,323.0,100000.0,380.0,16.04,2.448,120.002756843211,fig 4,AYDANI A et al 2021,https://doi.org/10.1016/j.seppur.2020.117796
798,zeolite,SSZ-13 ,3.0,0.372,0.0,353.0,100000.0,380.0,16.04,2.448,134.119336049193,fig 4,AYDANI A et al 2021,https://doi.org/10.1016/j.seppur.2020.117796
808,zeolite,SSZ-13 ,3.0,0.372,0.0,303.0,500000.0,380.0,16.04,2.448,136.554994162356,fig 4,AYDANI A et al 2021,https://doi.org/10.1016/j.seppur.2020.117796
809,zeolite,SSZ-13 ,3.0,0.372,0.0,323.0,500000.0,380.0,16.04,2.448,147.61061747685,fig 4,AYDANI A et al 2021,https://doi.org/10.1016/j.seppur.2020.117796
810,zeolite,SSZ-13 ,3.0,0.372,0.0,353.0,500000.0,380.0,16.04,2.448,157.796651049444,fig 4,AYDANI A et al 2021,https://doi.org/10.1016/j.seppur.2020.117796
817,zeolite,SSZ-13 ,3.0,0.372,0.0,303.0,300000.0,380.0,16.04,2.448,136.564676192472,fig 8,AYDANI A et al 2021,https://doi.org/10.1016/j.seppur.2020.117796
829,zeolite,SSZ-13 ,3.0,0.372,0.0,303.0,200000.0,380.0,16.04,2.448,106.938291576501,fig 5,AYDANI A et al 2021,https://doi.org/10.1016/j.seppur.2020.117796
830,zeolite,SSZ-13 ,3.0,0.372,0.0,303.0,400000.0,380.0,16.04,2.448,138.285567397164,fig 5,AYDANI A et al 2021,https://doi.org/10.1016/j.seppur.2020.117796
831,zeolite,SSZ-13 ,3.0,0.372,0.0,303.0,600000.0,380.0,16.04,2.448,137.273615953188,fig 5,AYDANI A et al 2021,https://doi.org/10.1016/j.seppur.2020.117796
841,zeolite,M1,0.9,,0.0,298.0,100000.0,380.0,16.04,2.448,28.0118384673509,fig 2,WU X et al 2022,https://doi.org/10.1016/j.memsci.2022.120291
106,zeolite,O3at473K,1.2,0.38,0.0,298.0,200000.0,444.3,30.07,4.226,61.6546252952298,fig 7,LI Y et al 2021,https://doi.org/10.1016/j.memsci.2021.119349
107,zeolite,O3at473K,1.2,0.38,0.0,298.0,200000.0,550.0,146.06,4.49,23.6741718693191,fig 7,LI Y et al 2021,https://doi.org/10.1016/j.memsci.2021.119349
909,zeolite,unmodified MFI-type,7.0,0.58,0.0,473.0,200000.0,550.0,146.06,4.49,171.440317749385,fig 4,KANEZASHI M and LI YS 2009,https://doi.org/10.1021/jp804586q
910,zeolite,unmodified MFI-type,7.0,0.58,0.0,373.0,200000.0,550.0,146.06,4.49,156.130547722463,fig 4,KANEZASHI M and LI YS 2009,https://doi.org/10.1021/jp804586q
911,zeolite,unmodified MFI-type,7.0,0.58,0.0,298.0,200000.0,550.0,146.06,4.49,109.534190324807,fig 4,KANEZASHI M and LI YS 2009,https://doi.org/10.1021/jp804586q
948,zeolite,counter-diffusion modified,7.0,0.58,0.0,473.0,200000.0,550.0,146.06,4.49,13.009276384431,fig 7,KANEZASHI M and LI YS 2009,https://doi.org/10.1021/jp804586q
949,zeolite,counter-diffusion modified,7.0,0.58,0.0,373.0,200000.0,550.0,146.06,4.49,7.13110013250878,fig 7,KANEZASHI M and LI YS 2009,https://doi.org/10.1021/jp804586q
950,zeolite,counter-diffusion modified,7.0,0.58,0.0,323.0,200000.0,550.0,146.06,4.49,2.96452754746282,fig 7,KANEZASHI M and LI YS 2009,https://doi.org/10.1021/jp804586q
